((г. )|(г ))?Абаза
((г. )|(г ))?Абакан(а)?
((г. )|(г ))?Абдулино
((г. )|(г ))?Абинск(а)?
((г. )|(г ))?Агидел((ь)|(я))
((г. )|(г ))?Агрыз(а)?
((г. )|(г ))?Адыгейск(а)?
((г. )|(г ))?Азнакаево
((г. )|(г ))?Азов(а)?
((г. )|(г ))?Ак-Довурак(а)?
((г. )|(г ))?Аксай
((г. )|(г ))?Алагир(а)?
((г. )|(г ))?Алапаевск(а)?
((г. )|(г ))?Алатыр((ь)|(я))
((г. )|(г ))?Алдан(а)?
((г. )|(г ))?Алейск(а)?
((г. )|(г ))?Александров(а)?
((г. )|(г ))?Александровск(а)?
((г. )|(г ))?Александровск-Сахалинск((ий)|(ой))
((г. )|(г ))?Алексеевка
((г. )|(г ))?Алексин(а)?
((г. )|(г ))?Алзамай
((г. )|(г ))?Альметьевск(а)?
((г. )|(г ))?Амурск(а)?
((г. )|(г ))?Анадыр((ь)|(я))
((г. )|(г ))?Анапа
((г. )|(г ))?Ангарск(а)?
((г. )|(г ))?Андреапол((ь)|(я))
((г. )|(г ))?Анжеро-Судженск(а)?
((г. )|(г ))?Анива
((г. )|(г ))?Апатиты
((г. )|(г ))?Апрелевка
((г. )|(г ))?Апшеронск(а)?
((г. )|(г ))?Арамил((ь)|(я))
((г. )|(г ))?Аргун(а)?
((г. )|(г ))?Ардатов(а)?
((г. )|(г ))?Ардон(а)?
((г. )|(г ))?Арзамас(а)?
((г. )|(г ))?Аркадак(а)?
((г. )|(г ))?Армавир(а)?
((г. )|(г ))?Арсеньев(а)?
((г. )|(г ))?Артём(а)?
((г. )|(г ))?Артёмовск(а)?
((г. )|(г ))?Артёмовск((ий)|(ой))
((г. )|(г ))?Архангельск(а)?
((г. )|(г ))?Асбест(а)?
((г. )|(г ))?Асино
((г. )|(г ))?Астрахан((ь)|(я))
((г. )|(г ))?Аткарск(а)?
((г. )|(г ))?Ахтубинск(а)?
((г. )|(г ))?Ачинск(а)?
((г. )|(г ))?Аша
((г. )|(г ))?Бабаево
((г. )|(г ))?Бабушкин(а)?
((г. )|(г ))?Бавлы
((г. )|(г ))?Багратионовск(а)?
((г. )|(г ))?Байкальск(а)?
((г. )|(г ))?Баймак(а)?
((г. )|(г ))?Бакал(а)?
((г. )|(г ))?Баксан(а)?
((г. )|(г ))?Балабаново
((г. )|(г ))?Балаково
((г. )|(г ))?Балахна
((г. )|(г ))?Балашиха
((г. )|(г ))?Балашов(а)?
((г. )|(г ))?Балей
((г. )|(г ))?Балтийск(а)?
((г. )|(г ))?Барабинск(а)?
((г. )|(г ))?Барнаул(а)?
((г. )|(г ))?Барыш(а)?
((г. )|(г ))?Батайск(а)?
((г. )|(г ))?Бежецк(а)?
((г. )|(г ))?Белёв(а)?
((г. )|(г ))?Белая Калитва
((г. )|(г ))?Белая Холуница
((г. )|(г ))?Белгород(а)?
((г. )|(г ))?Белебей
((г. )|(г ))?Белинск((ий)|(ой))
((г. )|(г ))?Белово
((г. )|(г ))?Белогорск(а)?
((г. )|(г ))?Белозерск(а)?
((г. )|(г ))?Белокуриха
((г. )|(г ))?Беломорск(а)?
((г. )|(г ))?Белорецк(а)?
((г. )|(г ))?Белореченск(а)?
((г. )|(г ))?Белоусово
((г. )|(г ))?Белоярск((ий)|(ой))
((г. )|(г ))?Белый
((г. )|(г ))?Берёзовск((ий)|(ой))
((г. )|(г ))?Бердск(а)?
((г. )|(г ))?Березники
((г. )|(г ))?Беслан(а)?
((г. )|(г ))?Бийск(а)?
((г. )|(г ))?Бикин(а)?
((г. )|(г ))?Билибино
((г. )|(г ))?Биробиджан(а)?
((г. )|(г ))?Бирск(а)?
((г. )|(г ))?Бирюсинск(а)?
((г. )|(г ))?Бирюч(а)?
((г. )|(г ))?Благовещенск(а)?
((г. )|(г ))?Благодарный
((г. )|(г ))?Бобров(а)?
((г. )|(г ))?Богданович(а)?
((г. )|(г ))?Богородицк(а)?
((г. )|(г ))?Богородск(а)?
((г. )|(г ))?Боготол(а)?
((г. )|(г ))?Богучар(а)?
((г. )|(г ))?Бодайбо
((г. )|(г ))?Бокситогорск(а)?
